//TABELA COM CÓDIGO IBGE ATUALIZADO DE ACORDO COM TABELA SPEED FISCAL...
UF|MUNICIPIO               |CEP     |IBGE
AL|Riacho do Sertão           |57585000|0000000
AL|Riacho Fundo de Cima       |57611000|0000000
AL|Rio Largo                  |57100000|2707701
AL|Rocha Cavalcante           |57810000|0000000
AL|Roteiro                    |57246000|2707800
AL|Santa Efigênia             |57790000|0000000
AL|Santa Luzia do Norte       |57130000|2707909
AL|Santana do Ipanema         |57500000|2708006
AL|Santana do Mundaú          |57840000|2708105
AL|Santo Antônio              |57611100|0000000
AL|São Brás                   |57380000|2708204
AL|São José da Laje           |57860000|2708303
AL|São José da Tapera         |57445000|2708402
AL|São Luís do Quitundé       |57920000|2708501
AL|São Miguel dos Campos      |57240000|2708600
AL|São Miguel dos Milagres    |57940000|2708709
AL|São Sebastião              |57275000|2708808
AL|Sapucaia                   |57319500|0000000
AL|Sapucaia                   |57693000|0000000
AL|Satuba                     |57120000|2708907
AL|Senador Rui Palmeira       |57515000|2708956
AL|Serra da Mandioca          |57612000|0000000
AL|Serra do São José    |57612500|0000000
AL|Taboleiro do Pinto   |57110000|0000000
AL|Taboquinha           |57319600|0000000
AL|Tanque D'Arca        |57635000|2709004
AL|Taquarana            |57640000|2709103
AL|Tatuamunha           |57948000|0000000
AL|Teotônio Vilela      |57265000|2709152
AL|Traipu               |57370000|2709202
AL|União dos Palmares   |57800000|2709301
AL|Usina Camaçari       |57233000|0000000
AL|Viçosa               |57700000|2709400
AL|Vila Aparecida       |57319700|0000000
AL|Vila São Francisco   |57319800|0000000
AM|Alvarães             |69475000|1300029
AM|Amatari              |69105000|0000000
AM|Amaturá              |69620000|1300060
AM|Anamã                |69445000|1300086
AM|Anori                |69440000|1300102
AM|Apuí                 |69265000|1300144
AM|Ariaú                |69165000|0000000
AM|Atalaia do Norte     |69650000|1300201
AM|Augusto Montenegro   |69182000|0000000
AM|Autazes              |69240000|1300300
AM|Axinim               |69210000|0000000
AM|Badajós              |69452000|0000000
AM|Balbina              |69736000|0000000
AM|Barcelos             |69700000|1300409
AM|Barreirinha          |69160000|1300508
AM|Benjamin Constant    |69630000|1300607
AM|Beruri               |69430000|1300631
AM|Boa Vista do Ramos   |69195000|1300680
AM|Boca do Acre         |69850000|1300706
AM|Borba                |69200000|1300805
AM|Caapiranga           |69410000|1300839
AM|Cametá               |69162000|0000000
AM|Canumã               |69212000|0000000
AM|Canutama             |69820000|1300904
AM|Carauari             |69500000|1301001
AM|Careiro              |69250000|1301100
AM|Careiro da Várzea    |69255000|1301159
AM|Carvoeiro            |69725000|0000000
AM|Coari                |69460000|1301209
AM|Codajás              |69450000|1301308
AM|Cucuí                |69765000|0000000
AM|Eirunepé             |69880000|1301407
AM|Envira               |69870000|1301506
AM|Floriano Peixoto     |69855000|0000000
AM|Fonte Boa            |69670000|1301605
AM|Freguesia do Andirá  |69170000|0000000
AM|Guajará              |69895000|1301654
AM|Humaitá              |69800000|1301704
AM|Iauaretê             |69790000|0000000
AM|Içanã                |69760000|0000000
AM|Ipixuna              |69890000|1301803
AM|Iranduba             |69405000|1301852
AM|Itacoatiara          |69100000|1301902
AM|Itamarati            |69510000|1301951
AM|Itapiranga           |69120000|1302009
AM|Japurá               |69495000|1302108
AM|Juruá                      |69520000|1302207
AM|Jutaí                      |69660000|1302306
AM|Lábrea                     |69830000|1302405
AM|Lago Preto                 |69196000|0000000
AM|Manacapuru                 |69400000|1302504
AM|Manaquiri                  |69435000|1302553
AM|Manaus                     |00000000|1302603
AM|Manicoré                   |69280000|1302702
AM|Maraã                      |69490000|1302801
AM|Massauari                  |69197000|0000000
AM|Maués                      |69190000|1302900
AM|Mocambo                    |69158000|0000000
AM|Moura                      |69720000|0000000
AM|Murutinga                  |69245000|0000000
AM|Nhamundá                   |69140000|1303007
AM|Nova Olinda do Norte       |69230000|1303106
AM|Novo Airão                 |69730000|1303205
AM|Novo Aripuanã              |69260000|1303304
AM|Osório da Fonseca          |69192000|0000000
AM|Parintins                  |00000000|1303403
AM|Pauini                     |69860000|1303502
AM|Pedras                     |69175000|0000000
AM|Presidente Figueiredo      |69735000|1303536
AM|Repartimento               |69193000|0000000
AM|Rio Preto da Eva           |69115000|1303569
AM|Santa Isabel do Rio Negro  |69740000|1303601
AM|Santa Rita                 |69610000|0000000
AM|Santo Antônio do Içá       |69680000|1303700
AM|São Felipe                 |69752000|0000000
AM|São Gabriel da Cachoeira   |69750000|1303809
AM|São Paulo de Olivença      |69600000|1303908
AM|São Sebastião do Uatumã    |69135000|1303957
AM|Silves                     |69110000|1304005
AM|Tabatinga                  |69640000|1304062
AM|Tapauá                     |69480000|1304104
AM|Tefé                       |69470000|1304203
AM|Tonantins                  |69685000|1304237
AM|Uarini                     |69485000|1304260
AM|Urucará                    |69130000|1304302
AM|Urucurituba                |69180000|1304401
AM|Vila Pitinga               |69737000|0000000
AP|Abacate da Pedreira        |68912350|0000000
AP|Água Branca do Amapari     |68948000|0000000
AP|Amapá                      |68950000|1600105
AP|Amapari                    |68945000|0000000
AP|Ambé                       |68912000|0000000
AP|Aporema                    |68994000|0000000
AP|Ariri                      |68912050|0000000
AP|Bailique                   |68913000|0000000
AP|Boca do Jari               |68923000|0000000
AP|Calçoene                   |68960000|1600204
AP|Cantanzal                  |68912800|0000000
AP|Carmo                      |68912100|0000000
AP|Clevelândia do Norte       |68985000|0000000
AP|Corre Água                 |68912600|0000000
AP|Cunani                     |68965000|0000000
AP|Curiaú                     |68912300|0000000
AP|Cutias                     |68973000|1600212
AP|Fazendinha                 |68912250|0000000
AP|Ferreira Gomes               |68915000|1600238
AP|Fortaleza                    |68939000|0000000
AP|Gaivota                      |68912150|0000000
AP|Gurupora                     |68912650|0000000
AP|Igarapé do Lago              |68935000|0000000
AP|Ilha de Santana              |68937000|0000000
AP|Inajá                        |68912750|0000000
AP|Itaubal                      |68976000|1600253
AP|Laranjal do Jari             |68920000|1600279
AP|Livramento do Pacuí          |68912450|0000000
AP|Lourenço                     |68970000|0000000
AP|Macapá                       |00000000|1600303
AP|Mazagão                      |68940000|1600402
AP|Mazagão Velho                |68943000|0000000
AP|Oiapoque                     |68980000|1600501
AP|Paredão                      |68917000|0000000
AP|Pedra Branca do Amapari      |00000000|1600154
AP|Porto Grande                 |68997000|1600535
AP|Pracuúba                     |68918000|1600550
AP|Santa Luzia do Pacuí         |68912530|0000000
AP|Santa Maria                  |68912200|0000000
AP|Santana                      |68925000|1600600
AP|São Joaquim do Pacuí         |68912500|0000000
AP|São Sebastião do Livramento  |68912550|0000000
AP|São Tomé                     |68912700|0000000
AP|Serra do Navio               |68914000|1600055
AP|Sucuriju                     |68958000|0000000
AP|Tartarugalzinho              |68990000|1600709
AP|Vila Velha                   |68988000|0000000
AP|Vitória do Jari              |68924000|1600808
BA|Abadia                       |48320000|0000000
BA|Abaíra                       |46690000|2900108
BA|Abaré                        |48680000|2900207
BA|Abelhas                      |45112000|0000000
BA|Abóbora                      |48912000|0000000
BA|Abrantes                     |42840000|0000000
BA|Acajutiba                    |48360000|2900306
BA|Açu da Torre                 |48288000|0000000
BA|Açudina                      |47645000|0000000
BA|Acupe                        |44218000|0000000
BA|Adustina                     |48435000|2900355
BA|Afligidos                    |44338000|0000000
BA|Afrânio Peixoto              |46965000|0000000
BA|Água Doce                    |45295000|0000000
BA|Água Fria                    |48170000|2900405
BA|Águas do Paulista            |47505000|0000000
BA|Aiquara                      |45220000|2900603
BA|Alagoinhas                   |00000000|2900702
BA|Alcobaça                     |45990000|2900801
BA|Alegre                       |46203000|0000000
BA|Algodão                      |45582000|0000000
BA|Algodões                     |48832000|0000000
